序號,分類,字母,單字或片語,詞性縮寫,詞性,中文釋義,來源
14,TOEIC 多益必考單字,A,above-average,a,形容詞,在平均水平以上；超過平均水平,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
15,TOEIC 多益必考單字,A,abrupt,a,形容詞,突然的；唐突的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
16,TOEIC 多益必考單字,A,abruptly,ad,副詞,突然地；唐突地,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
17,TOEIC 多益必考單字,A,absence,n,名詞,不在，缺席,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
18,TOEIC 多益必考單字,A,absent,a,形容詞,缺席的，不在場的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
19,TOEIC 多益必考單字,A,absolute,a,形容詞,純粹的；完全的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
20,TOEIC 多益必考單字,A,absolutely,ad,副詞,絕對地，完全地,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
21,TOEIC 多益必考單字,A,absorb,v,動詞,吸收；理解在,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
22,TOEIC 多益必考單字,A,abstract,a,形容詞,抽象的；深奧的 n 摘要，抽象派藝術作品,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
23,TOEIC 多益必考單字,A,absurd,a,形容詞,不合理的，荒謬的計,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
24,TOEIC 多益必考單字,A,abundance,n,名詞,豐富；充足,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
25,TOEIC 多益必考單字,A,abundant,n,名詞,大量的；充足的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
26,TOEIC 多益必考單字,A,abuse,n,名詞,濫用；虐待,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
27,TOEIC 多益必考單字,A,abusive,n,名詞,辱罵的；濫用的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
28,TOEIC 多益必考單字,A,academic,a,形容詞,學校的；學術的 n 學者；學究,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
29,TOEIC 多益必考單字,A,academy,n,名詞,學院；大學,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
30,TOEIC 多益必考單字,A,accelerate,v,動詞,加快；增長,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
31,TOEIC 多益必考單字,A,accent,n,名詞,口音，腔調 v 強調，著重,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
32,TOEIC 多益必考單字,A,accept,v,動詞,接受；答應,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
33,TOEIC 多益必考單字,A,acceptable,a,形容詞,可以接受的；令人滿意的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
34,TOEIC 多益必考單字,A,acceptance,n,名詞,接受；贊同,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
35,TOEIC 多益必考單字,A,access,n,名詞,進入；入口 v 使用；接近,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
36,TOEIC 多益必考單字,A,accessibility,n,名詞,易接近；易受影響,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
37,TOEIC 多益必考單字,A,accessible,a,形容詞,可接近的；可進入的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
38,TOEIC 多益必考單字,A,accessory,n,名詞,附件；配件 a 附屬的；輔助的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
39,TOEIC 多益必考單字,A,accident,n,名詞,事故；災禍,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
40,TOEIC 多益必考單字,A,accidental,a,形容詞,偶然的；意外的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
41,TOEIC 多益必考單字,A,accident-prone,a,形容詞,容易受傷的；容易出意外的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
42,TOEIC 多益必考單字,A,acclaim,v,動詞,歡呼；喝采,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
43,TOEIC 多益必考單字,A,acclimatize,v,動詞,使適應新環境,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
44,TOEIC 多益必考單字,A,accommodate,v,動詞,使適應；使相符,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
45,TOEIC 多益必考單字,A,accommodation,n,名詞,適應；調節,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
46,TOEIC 多益必考單字,A,accompany,v,動詞,陪同，伴隨,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
47,TOEIC 多益必考單字,A,accomplish,v,動詞,完成，實現，達到,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
48,TOEIC 多益必考單字,A,accomplishment,n,名詞,成就；成績,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
49,TOEIC 多益必考單字,A,accord,v,動詞,使一致，調解,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
50,TOEIC 多益必考單字,A,according,a,形容詞,相符的；和諧的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
51,TOEIC 多益必考單字,A,account,n,名詞,帳目，帳單 v 把……視為,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
52,TOEIC 多益必考單字,A,accountable,a,形容詞,應負責任的；可說明的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
53,TOEIC 多益必考單字,A,accountant,n,名詞,會計師；會計人員,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
54,TOEIC 多益必考單字,A,accounting,n,名詞,會計學；結帳,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
55,TOEIC 多益必考單字,A,accrue,v,動詞,積累；獲得,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
56,TOEIC 多益必考單字,A,accumulate,v,動詞,累積；積聚,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
57,TOEIC 多益必考單字,A,accumulation,n,名詞,積累；積聚環,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
58,TOEIC 多益必考單字,A,accuracy,n,名詞,正確；準確；,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
59,TOEIC 多益必考單字,A,accurate,a,形容詞,準確的；精確的；,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
60,TOEIC 多益必考單字,A,accuse,v,動詞,控告；譴責,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
61,TOEIC 多益必考單字,A,accustom,v,動詞,習慣（於）,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
62,TOEIC 多益必考單字,A,ache,n,名詞,疼痛 v 疼痛；感到痛苦,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
63,TOEIC 多益必考單字,A,achieve,v,動詞,完成，實現,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
64,TOEIC 多益必考單字,A,achievement,n,名詞,達成；完成,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
65,TOEIC 多益必考單字,A,acknowledge,v,動詞,承認,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
66,TOEIC 多益必考單字,A,acknowledgement,n,名詞,承認；確認；認可,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
67,TOEIC 多益必考單字,A,acquire,v,動詞,取得；獲得,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
68,TOEIC 多益必考單字,A,acquisitive,a,形容詞,想獲得的；貪得無厭的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
69,TOEIC 多益必考單字,A,acquisition,n,名詞,獲得，取得,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
70,TOEIC 多益必考單字,A,acre,n,名詞,英畝；地產,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
71,TOEIC 多益必考單字,A,across,prep,介系詞,橫越，穿過；在……那邊 ad 橫過,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
72,TOEIC 多益必考單字,A,act,v,動詞,扮演；做事；見效 n 行為；行動,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
73,TOEIC 多益必考單字,A,action,n,名詞,行動；行為,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
74,TOEIC 多益必考單字,A,activate,v,動詞,使活化；使活潑,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
75,TOEIC 多益必考單字,A,active,a,形容詞,活躍的；活潑的；積極的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
76,TOEIC 多益必考單字,A,activity,n,名詞,活動；行動,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
77,TOEIC 多益必考單字,A,actor,n,名詞,演員；行動者,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
78,TOEIC 多益必考單字,A,actress,n,名詞,女演員,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
79,TOEIC 多益必考單字,A,actual,a,形容詞,實際的；事實上的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
80,TOEIC 多益必考單字,A,actually,ad,副詞,實際上；真的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
81,TOEIC 多益必考單字,A,acute,a,形容詞,嚴重的；敏銳的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
82,TOEIC 多益必考單字,A,adapt,v,動詞,使適應，使適合,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
83,TOEIC 多益必考單字,A,adapter,n,名詞,改編者；轉接器,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
84,TOEIC 多益必考單字,A,add,v,動詞,添加；增加,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
85,TOEIC 多益必考單字,A,addict,v,動詞,使沉溺；使醉心,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
86,TOEIC 多益必考單字,A,addiction,n,名詞,沉溺；成癮,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
87,TOEIC 多益必考單字,A,addictive,a,形容詞,成癮的；上癮的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
88,TOEIC 多益必考單字,A,addition,n,名詞,加；附加,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
