"序號","分類","字母","級數","級數代碼","單字或片語","詞性","中文釋義","註解","學術字彙","來源"
"28","英檢中級 GEPT Intermediate","A","中級","I","accuracy","noun","準確（度）","","L6","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"29","英檢中級 GEPT Intermediate","A","中級","I","accurate","adj.","正確的、精準的","","L6","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"30","英檢中級 GEPT Intermediate","A","中級","I","accuse","verb","指控","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"31","英檢中級 GEPT Intermediate","A","中級","I","ache","noun/verb","疼痛","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"32","英檢中級 GEPT Intermediate","A","中級","I","achievement","noun","成就、成績","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"33","英檢中級 GEPT Intermediate","A","中級","I","acid","noun/adj.","酸；酸（性）的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"34","英檢中級 GEPT Intermediate","A","中級","I","acquaint","verb","使熟悉、使了解","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"35","英檢中級 GEPT Intermediate","A","中級","I","acquaintance","noun","認識的人、交情、（對事物的）了解","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"36","英檢中級 GEPT Intermediate","A","中級","I","acquire","verb","獲得、購得","","L2","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"37","英檢中級 GEPT Intermediate","A","中級","I","acre","noun","英畝","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"38","英檢中級 GEPT Intermediate","A","中級","I","actual","adj.","實際的、真正的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"39","英檢中級 GEPT Intermediate","A","中級","I","adapt","verb","（使）適應、改編","","L7","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"40","英檢中級 GEPT Intermediate","A","中級","I","additional","adj.","額外的、附加的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"41","英檢中級 GEPT Intermediate","A","中級","I","address","verb","對...講話、發表演說；處理、應對","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"42","英檢中級 GEPT Intermediate","A","中級","I","adequate","adj.","足夠的、合格的","","L4","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"43","英檢中級 GEPT Intermediate","A","中級","I","adjective","noun","形容詞","= adj.","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"44","英檢中級 GEPT Intermediate","A","中級","I","adjust","verb","調整；適應；整理（衣著）","","L5","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"45","英檢中級 GEPT Intermediate","A","中級","I","administration","noun","管理（部門）、行政（部門）；施行、施用","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"46","英檢中級 GEPT Intermediate","A","中級","I","admirable","adj.","可欽佩的、值得讚賞的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"47","英檢中級 GEPT Intermediate","A","中級","I","admiration","noun","欽佩、仰慕、讚賞","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"48","英檢中級 GEPT Intermediate","A","中級","I","admission","noun","承認、招認；入場費；允許進入","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"49","英檢中級 GEPT Intermediate","A","中級","I","advanced","adj.","先進的、高級的、（發展）後期的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"50","英檢中級 GEPT Intermediate","A","中級","I","advertise","verb","登廣告、徵聘、宣傳","= advertize","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"51","英檢中級 GEPT Intermediate","A","中級","I","adviser","noun","顧問、忠告者","= advisor","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"52","英檢中級 GEPT Intermediate","A","中級","I","affection","noun","喜愛、鍾愛","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"53","英檢中級 GEPT Intermediate","A","中級","I","afford","verb","買得起、承擔、提供","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"54","英檢中級 GEPT Intermediate","A","中級","I","afterward","adv.","後來","= afterwards (British English)","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"55","英檢中級 GEPT Intermediate","A","中級","I","aged","adj.","…歲的、年邁的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"56","英檢中級 GEPT Intermediate","A","中級","I","agency","noun","代理機構、政府專門機構","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"57","英檢中級 GEPT Intermediate","A","中級","I","agent","noun","代理商、代理人、經紀人","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"58","英檢中級 GEPT Intermediate","A","中級","I","aggressive","adj.","好鬥的、挑臖的；積極進取的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"59","英檢中級 GEPT Intermediate","A","中級","I","agreeable","adj.","令人愉悅的、宜人的；欣然同意的、願意接受的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"60","英檢中級 GEPT Intermediate","A","中級","I","agreement","noun","協議、意見一致、同意","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"61","英檢中級 GEPT Intermediate","A","中級","I","agriculture","noun","農業","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"62","英檢中級 GEPT Intermediate","A","中級","I","air-conditioned","adj.","有空調的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"63","英檢中級 GEPT Intermediate","A","中級","I","airmail","noun","航空郵件","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"64","英檢中級 GEPT Intermediate","A","中級","I","alcohol","noun","酒、酒精","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"65","英檢中級 GEPT Intermediate","A","中級","I","alcoholic","adj.","酒精的、含酒精的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"66","英檢中級 GEPT Intermediate","A","中級","I","alcoholic","noun","酗酒者、酒精中毒者","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"67","英檢中級 GEPT Intermediate","A","中級","I","alert","verb","使警覺、使意識到","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"68","英檢中級 GEPT Intermediate","A","中級","I","alert","noun","警報、戒備","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"69","英檢中級 GEPT Intermediate","A","中級","I","alert","adj.","警覺的、機警的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"70","英檢中級 GEPT Intermediate","A","中級","I","alley","noun","小街、小巷","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"71","英檢中級 GEPT Intermediate","A","中級","I","allowance","noun","零用錢；津貼、補助；限額、定量","零用錢 = pocket money","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"72","英檢中級 GEPT Intermediate","A","中級","I","alongside","prep./adv.","在...旁邊、與...一起","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"73","英檢中級 GEPT Intermediate","A","中級","I","alternative","adj.","可替代的、可供選擇的；非傳統的、另類的","","L3","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"74","英檢中級 GEPT Intermediate","A","中級","I","alternative","noun","可供選擇的事物","","L3","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"75","英檢中級 GEPT Intermediate","A","中級","I","altitude","noun","海拔高度","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"76","英檢中級 GEPT Intermediate","A","中級","I","aluminium","noun","鋁","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"77","英檢中級 GEPT Intermediate","A","中級","I","amateur","adj./noun","業餘的、業餘愛好的；業餘愛好者、業餘運動員","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"78","英檢中級 GEPT Intermediate","A","中級","I","amaze","verb","使驚奇","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"79","英檢中級 GEPT Intermediate","A","中級","I","ambassador","noun","大使","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"80","英檢中級 GEPT Intermediate","A","中級","I","ambition","noun","野心","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"81","英檢中級 GEPT Intermediate","A","中級","I","ambitious","adj.","有野心的、雄心勃勃的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"82","英檢中級 GEPT Intermediate","A","中級","I","amid","prep.","在…中","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"83","英檢中級 GEPT Intermediate","A","中級","I","amuse","verb","逗樂、（使）娛樂","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"84","英檢中級 GEPT Intermediate","A","中級","I","amusement","noun","愉悅、娛樂（活動）","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"85","英檢中級 GEPT Intermediate","A","中級","I","analysis","noun","分析","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"86","英檢中級 GEPT Intermediate","A","中級","I","analyst","noun","分析者、化驗員","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"87","英檢中級 GEPT Intermediate","A","中級","I","analyze","verb","分析","= analyse (British English)","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"88","英檢中級 GEPT Intermediate","A","中級","I","ancestor","noun","祖先","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"89","英檢中級 GEPT Intermediate","A","中級","I","angle","noun","角度、觀點","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"90","英檢中級 GEPT Intermediate","A","中級","I","anniversary","noun","週年紀念日","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"91","英檢中級 GEPT Intermediate","A","中級","I","announce","verb","宣布、公告、廣播","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"92","英檢中級 GEPT Intermediate","A","中級","I","announcement","noun","宣布、公告","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"93","英檢中級 GEPT Intermediate","A","中級","I","announcer","noun","廣播員","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"94","英檢中級 GEPT Intermediate","A","中級","I","annoy","verb","使惱怒、打擾","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"95","英檢中級 GEPT Intermediate","A","中級","I","annual","adj./noun","每年的、一年一次的；年報、年刊","","L4","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"96","英檢中級 GEPT Intermediate","A","中級","I","anxiety","noun","焦慮、憂慮","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"97","英檢中級 GEPT Intermediate","A","中級","I","anxious","adj.","焦慮的、不安的；渴望做某事","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"98","英檢中級 GEPT Intermediate","A","中級","I","anyhow","adv.","無論如何","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"99","英檢中級 GEPT Intermediate","A","中級","I","apart","adv./adj.","（空間或時間的）分隔、相隔；分離的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"100","英檢中級 GEPT Intermediate","A","中級","I","ape","noun","人猿","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"101","英檢中級 GEPT Intermediate","A","中級","I","ape","verb","模仿、學...的樣子","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"102","英檢中級 GEPT Intermediate","A","中級","I","apology","noun","道歉","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"103","英檢中級 GEPT Intermediate","A","中級","I","app","noun","應用程式","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"104","英檢中級 GEPT Intermediate","A","中級","I","apparent","adj.","顯然的","","L4","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"105","英檢中級 GEPT Intermediate","A","中級","I","appeal","noun","呼籲；申訴；吸引力","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"106","英檢中級 GEPT Intermediate","A","中級","I","appeal","verb","呼籲；提出申訴；對...有吸引力","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"107","英檢中級 GEPT Intermediate","A","中級","I","appetite","noun","食慾、胃口","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"108","英檢中級 GEPT Intermediate","A","中級","I","applaud","verb","鼓掌、稱讚","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"109","英檢中級 GEPT Intermediate","A","中級","I","applause","noun","鼓掌、喝采","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"110","英檢中級 GEPT Intermediate","A","中級","I","appliance","noun","家電、器具","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"111","英檢中級 GEPT Intermediate","A","中級","I","applicant","noun","申請人","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"112","英檢中級 GEPT Intermediate","A","中級","I","application","noun","申請、申請書；用途、應用；應用軟體","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"113","英檢中級 GEPT Intermediate","A","中級","I","appoint","verb","任命、安排","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"114","英檢中級 GEPT Intermediate","A","中級","I","appointment","noun","約會、預約；任命；職務","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"115","英檢中級 GEPT Intermediate","A","中級","I","appreciation","noun","欣賞；感激、感謝","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"116","英檢中級 GEPT Intermediate","A","中級","I","approach","noun","方式、方法","","L1","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"117","英檢中級 GEPT Intermediate","A","中級","I","approach","verb","接近；接洽；著手處理","","L1","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"118","英檢中級 GEPT Intermediate","A","中級","I","appropriate","adj.","合適、恰當的","","L2","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"119","英檢中級 GEPT Intermediate","A","中級","I","approval","noun","贊成、批准","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"120","英檢中級 GEPT Intermediate","A","中級","I","approve","verb","贊成、批准","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"121","英檢中級 GEPT Intermediate","A","中級","I","apron","noun","圍裙","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"122","英檢中級 GEPT Intermediate","A","中級","I","aquarium","noun","魚缸、水族館","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"123","英檢中級 GEPT Intermediate","A","中級","I","arch","noun/verb","拱門；使成弓形","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"124","英檢中級 GEPT Intermediate","A","中級","I","architect","noun","建築師","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"125","英檢中級 GEPT Intermediate","A","中級","I","architecture","noun","建築學、建築設計","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"126","英檢中級 GEPT Intermediate","A","中級","I","argument","noun","爭吵、論點","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"127","英檢中級 GEPT Intermediate","A","中級","I","arise","verb","發生、由…引起","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"128","英檢中級 GEPT Intermediate","A","中級","I","arithmetic","noun/adj.","算術；算術的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"129","英檢中級 GEPT Intermediate","A","中級","I","arouse","verb","激起","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"130","英檢中級 GEPT Intermediate","A","中級","I","arrangement","noun","安排、籌備","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"131","英檢中級 GEPT Intermediate","A","中級","I","arrival","noun","抵達","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"132","英檢中級 GEPT Intermediate","A","中級","I","arrow","noun","弓箭、箭號","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"133","英檢中級 GEPT Intermediate","A","中級","I","artificial","adj.","人工的、人造的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"134","英檢中級 GEPT Intermediate","A","中級","I","artistic","adj.","藝術的、有藝術天賦的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"135","英檢中級 GEPT Intermediate","A","中級","I","ascend","verb","上升、登高","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"136","英檢中級 GEPT Intermediate","A","中級","I","ash","noun","灰燼","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"137","英檢中級 GEPT Intermediate","A","中級","I","ashamed","adj.","感到羞愧的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"138","英檢中級 GEPT Intermediate","A","中級","I","aside","adv.","在旁邊","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"139","英檢中級 GEPT Intermediate","A","中級","I","aspect","noun","方面、層面","","L2","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"140","英檢中級 GEPT Intermediate","A","中級","I","aspirin","noun","阿斯匹靈","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"141","英檢中級 GEPT Intermediate","A","中級","I","assassinate","verb","暗殺","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"142","英檢中級 GEPT Intermediate","A","中級","I","assemble","verb","集合、聚集；組裝","","L10","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"143","英檢中級 GEPT Intermediate","A","中級","I","assembly","noun","集會、議會；裝配","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"144","英檢中級 GEPT Intermediate","A","中級","I","asset","noun","資產","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"145","英檢中級 GEPT Intermediate","A","中級","I","assign","verb","指派、分配","","L6","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"146","英檢中級 GEPT Intermediate","A","中級","I","assist","verb","協助、援助","","L2","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
