"序號","分類","字母","級數","級數代碼","單字或片語","詞性","中文釋義","註解","學術字彙","來源"
"40","英檢中級 GEPT Intermediate","A","中級","I","accurate","adj.","正確的、精準的","","L6","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"41","英檢中級 GEPT Intermediate","A","中級","I","accuse","verb","指控","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"42","英檢中級 GEPT Intermediate","A","中級","I","ache","noun/verb","疼痛","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"43","英檢中級 GEPT Intermediate","A","初級","E","achieve","verb","達到、完成、實現","","L2","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"44","英檢中級 GEPT Intermediate","A","中級","I","achievement","noun","成就、成績","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"45","英檢中級 GEPT Intermediate","A","中級","I","acid","noun/adj.","酸；酸（性）的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"46","英檢中級 GEPT Intermediate","A","中級","I","acquaint","verb","使熟悉、使了解","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"47","英檢中級 GEPT Intermediate","A","中級","I","acquaintance","noun","認識的人、交情、（對事物的）了解","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"48","英檢中級 GEPT Intermediate","A","中級","I","acquire","verb","獲得、購得","","L2","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"49","英檢中級 GEPT Intermediate","A","中級","I","acre","noun","英畝","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"50","英檢中級 GEPT Intermediate","A","初級","E","across","prep./adv.","橫過、在對面","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"51","英檢中級 GEPT Intermediate","A","初級","E","across","prep.","在...各處、遍及","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"52","英檢中級 GEPT Intermediate","A","初級","E","act","noun/verb","表演者、（戲劇的）幕；演出、扮演","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"53","英檢中級 GEPT Intermediate","A","初級","E","act","noun/verb","行為、作為；行事、表現","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"54","英檢中級 GEPT Intermediate","A","初級","E","action","noun","行動、行為、動作","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"55","英檢中級 GEPT Intermediate","A","初級","E","active","adj.","活躍的、積極的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"56","英檢中級 GEPT Intermediate","A","初級","E","activity","noun","活動","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"57","英檢中級 GEPT Intermediate","A","初級","E","actor","noun","演員","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"58","英檢中級 GEPT Intermediate","A","初級","E","actress","noun","女演員","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"59","英檢中級 GEPT Intermediate","A","中級","I","actual","adj.","實際的、真正的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"60","英檢中級 GEPT Intermediate","A","初級","E","actually","adv.","實際上、事實上","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"61","英檢中級 GEPT Intermediate","A","中級","I","adapt","verb","（使）適應、改編","","L7","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"62","英檢中級 GEPT Intermediate","A","初級","E","add","verb","加上、增加、補充說","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"63","英檢中級 GEPT Intermediate","A","初級","E","addition","noun","加法、添加、增加的人或物","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"64","英檢中級 GEPT Intermediate","A","中級","I","additional","adj.","額外的、附加的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"65","英檢中級 GEPT Intermediate","A","初級","E","address","noun","地址、網址、位址；演講、演說","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"66","英檢中級 GEPT Intermediate","A","中級","I","address","verb","對...講話、發表演說；處理、應對","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"67","英檢中級 GEPT Intermediate","A","中級","I","adequate","adj.","足夠的、合格的","","L4","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"68","英檢中級 GEPT Intermediate","A","中級","I","adjective","noun","形容詞","= adj.","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"69","英檢中級 GEPT Intermediate","A","中級","I","adjust","verb","調整；適應；整理（衣著）","","L5","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"70","英檢中級 GEPT Intermediate","A","中級","I","administration","noun","管理（部門）、行政（部門）；施行、施用","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"71","英檢中級 GEPT Intermediate","A","中級","I","admirable","adj.","可欽佩的、值得讚賞的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"72","英檢中級 GEPT Intermediate","A","中級","I","admiration","noun","欽佩、仰慕、讚賞","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"73","英檢中級 GEPT Intermediate","A","初級","E","admire","verb","欽佩、欣賞","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"74","英檢中級 GEPT Intermediate","A","中級","I","admission","noun","承認、招認；入場費；允許進入","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"75","英檢中級 GEPT Intermediate","A","初級","E","admit","verb","承認；准許進入","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"76","英檢中級 GEPT Intermediate","A","初級","E","adopt","verb","領養、接受、採納","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"77","英檢中級 GEPT Intermediate","A","初級","E","adult","noun/adj.","成年人；成年的、成熟的、僅限成人的","","L7","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"78","英檢中級 GEPT Intermediate","A","初級","E","advance","adj.","預先的、事先的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"79","英檢中級 GEPT Intermediate","A","初級","E","advance","verb","（使）前進、使發展、促進","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"80","英檢中級 GEPT Intermediate","A","初級","E","advance","noun","前進、發展、進展","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"81","英檢中級 GEPT Intermediate","A","中級","I","advanced","adj.","先進的、高級的、（發展）後期的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"82","英檢中級 GEPT Intermediate","A","初級","E","advantage","noun","優點、優勢、好處","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"83","英檢中級 GEPT Intermediate","A","初級","E","adventure","noun","冒險、冒險經歷、奇遇","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"84","英檢中級 GEPT Intermediate","A","中級","I","advertise","verb","登廣告、徵聘、宣傳","= advertize","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"85","英檢中級 GEPT Intermediate","A","初級","E","advertisement","noun","廣告","= ad","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"86","英檢中級 GEPT Intermediate","A","初級","E","advice","noun","建議、忠告","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"87","英檢中級 GEPT Intermediate","A","初級","E","advise","verb","建議、忠告、正式告知","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"88","英檢中級 GEPT Intermediate","A","中級","I","adviser","noun","顧問、忠告者","= advisor","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"89","英檢中級 GEPT Intermediate","A","初級","E","affair","noun","事務、事件","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"90","英檢中級 GEPT Intermediate","A","初級","E","affect","verb","影響、（疾病）感染","","L2","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"91","英檢中級 GEPT Intermediate","A","中級","I","affection","noun","喜愛、鍾愛","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"92","英檢中級 GEPT Intermediate","A","中級","I","afford","verb","買得起、承擔、提供","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"93","英檢中級 GEPT Intermediate","A","初級","E","afraid","adj.","害怕的、擔憂的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"94","英檢中級 GEPT Intermediate","A","初級","E","after","prep./conj./adv.","在...後面；在...以後；以後、後來","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"95","英檢中級 GEPT Intermediate","A","初級","E","afternoon","noun","下午","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"96","英檢中級 GEPT Intermediate","A","中級","I","afterward","adv.","後來","= afterwards (British English)","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"97","英檢中級 GEPT Intermediate","A","初級","E","again","adv.","又、再一次","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"98","英檢中級 GEPT Intermediate","A","初級","E","against","prep.","緊貼著、倚靠著；逆著...的方向、迎著；反對、與...相反；以...為背景、襯托；防...、抗...","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"99","英檢中級 GEPT Intermediate","A","初級","E","age","verb","衰老、使變老、使成熟","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"100","英檢中級 GEPT Intermediate","A","初級","E","age","noun","年齡、老化；時代、時期","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"101","英檢中級 GEPT Intermediate","A","中級","I","aged","adj.","…歲的、年邁的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"102","英檢中級 GEPT Intermediate","A","中級","I","agency","noun","代理機構、政府專門機構","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"103","英檢中級 GEPT Intermediate","A","中級","I","agent","noun","代理商、代理人、經紀人","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"104","英檢中級 GEPT Intermediate","A","中級","I","aggressive","adj.","好鬥的、挑臖的；積極進取的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"105","英檢中級 GEPT Intermediate","A","初級","E","ago","adv.","在…以前","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"106","英檢中級 GEPT Intermediate","A","初級","E","agree","verb","同意、贊成、相符","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"107","英檢中級 GEPT Intermediate","A","中級","I","agreeable","adj.","令人愉悅的、宜人的；欣然同意的、願意接受的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"108","英檢中級 GEPT Intermediate","A","中級","I","agreement","noun","協議、意見一致、同意","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"109","英檢中級 GEPT Intermediate","A","中級","I","agriculture","noun","農業","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"110","英檢中級 GEPT Intermediate","A","初級","E","ahead","adv.","在前面、領先、提早","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"111","英檢中級 GEPT Intermediate","A","初級","E","aid","noun/verb","幫助、援助；救援物資、輔助設備","","L7","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"112","英檢中級 GEPT Intermediate","A","初級","E","aim","verb/noun","計劃、瞄準；目標、瞄準","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"113","英檢中級 GEPT Intermediate","A","初級","E","air","noun","空氣、空中","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"114","英檢中級 GEPT Intermediate","A","初級","E","air conditioner","noun","冷氣機、空調","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"115","英檢中級 GEPT Intermediate","A","中級","I","air-conditioned","adj.","有空調的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"116","英檢中級 GEPT Intermediate","A","初級","E","aircraft","noun","飛機","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"117","英檢中級 GEPT Intermediate","A","初級","E","airline","noun","航空公司","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"118","英檢中級 GEPT Intermediate","A","中級","I","airmail","noun","航空郵件","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"119","英檢中級 GEPT Intermediate","A","初級","E","airplane","noun","飛機","= plane, aeroplane (British English)","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"120","英檢中級 GEPT Intermediate","A","初級","E","airport","noun","機場","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"121","英檢中級 GEPT Intermediate","A","初級","E","alarm","noun","鬧鐘、鬧鈴裝置；警報、警報器","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"122","英檢中級 GEPT Intermediate","A","初級","E","album","noun","相簿、集郵簿、音樂專輯","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"123","英檢中級 GEPT Intermediate","A","中級","I","alcohol","noun","酒、酒精","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"124","英檢中級 GEPT Intermediate","A","中級","I","alcoholic","adj.","酒精的、含酒精的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"125","英檢中級 GEPT Intermediate","A","中級","I","alcoholic","noun","酗酒者、酒精中毒者","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"126","英檢中級 GEPT Intermediate","A","中級","I","alert","verb","使警覺、使意識到","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"127","英檢中級 GEPT Intermediate","A","中級","I","alert","noun","警報、戒備","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"128","英檢中級 GEPT Intermediate","A","中級","I","alert","adj.","警覺的、機警的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"129","英檢中級 GEPT Intermediate","A","初級","E","alike","adv./adj.","相似地、同樣地；相似的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"130","英檢中級 GEPT Intermediate","A","初級","E","alive","adj.","活著的、仍然存在的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"131","英檢中級 GEPT Intermediate","A","初級","E","all","adj./pron./adv.","全部（的/地）","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"132","英檢中級 GEPT Intermediate","A","中級","I","alley","noun","小街、小巷","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"133","英檢中級 GEPT Intermediate","A","初級","E","allow","verb","准許","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"134","英檢中級 GEPT Intermediate","A","中級","I","allowance","noun","零用錢；津貼、補助；限額、定量","零用錢 = pocket money","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"135","英檢中級 GEPT Intermediate","A","初級","E","almost","adv.","幾乎、差不多","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"136","英檢中級 GEPT Intermediate","A","初級","E","alone","adv./adj.","單獨（的）、獨自（的）、孤獨無伴（的）","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"137","英檢中級 GEPT Intermediate","A","初級","E","along","adv.","向前、一起、來到","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"138","英檢中級 GEPT Intermediate","A","初級","E","along","prep.","沿著","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"139","英檢中級 GEPT Intermediate","A","中級","I","alongside","prep./adv.","在...旁邊、與...一起","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"140","英檢中級 GEPT Intermediate","A","初級","E","aloud","adv.","大聲地","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"141","英檢中級 GEPT Intermediate","A","初級","E","alphabet","noun","字母表","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"142","英檢中級 GEPT Intermediate","A","初級","E","already","adv.","已經","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"143","英檢中級 GEPT Intermediate","A","初級","E","also","adv.","也、此外","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"144","英檢中級 GEPT Intermediate","A","中級","I","alternative","adj.","可替代的、可供選擇的；非傳統的、另類的","","L3","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
