序號,分類,字母,單字或片語,詞性縮寫,詞性,中文含義,來源
42,TOEFL 托福高頻詞彙 1-1000,A,accelerate,v.,動詞,"加快,加速",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
43,TOEFL 托福高頻詞彙 1-1000,A,accelerated,adj.,形容詞,"加速的,迅速的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
44,TOEFL 托福高頻詞彙 1-1000,A,accelerating,adj.,形容詞,加速的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
45,TOEFL 托福高頻詞彙 1-1000,A,acceleration,n.,名詞,加速度,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
46,TOEFL 托福高頻詞彙 1-1000,A,access,n.,名詞,"接触,接近(的机会)；入入口,通道",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
47,TOEFL 托福高頻詞彙 1-1000,A,accessible,adj.,形容詞,"可接近的,可接触的;可得到的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
48,TOEFL 托福高頻詞彙 1-1000,A,accessibility,n.,名詞,易易接近;可达到,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
49,TOEFL 托福高頻詞彙 1-1000,A,accessory,n.,名詞,"附件,零件",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
50,TOEFL 托福高頻詞彙 1-1000,A,accidental,adj.,形容詞,"意外的,偶然的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
51,TOEFL 托福高頻詞彙 1-1000,A,accidentally,adv.,副詞,"意外地,偶然地",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
52,TOEFL 托福高頻詞彙 1-1000,A,accident,n.,名詞,"意外事件,事故",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
53,TOEFL 托福高頻詞彙 1-1000,A,acclaim,n. / vt.,名詞 / 及物動詞,"赞誉,赞许；喝喝彩,欢呼;称赞",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
54,TOEFL 托福高頻詞彙 1-1000,A,acclaimed,adj.,形容詞,受人欢迎的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
55,TOEFL 托福高頻詞彙 1-1000,A,accommodate,vt.,及物動詞,"为提供⻝食食宿;与相符,与相适应",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
56,TOEFL 托福高頻詞彙 1-1000,A,accommodating,adj.,形容詞,乐于助人的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
57,TOEFL 托福高頻詞彙 1-1000,A,accompany,vt.,及物動詞,"陪伴,伴随;伴奏",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
58,TOEFL 托福高頻詞彙 1-1000,A,accompanying,adj.,形容詞,"陪伴的,伴随的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
59,TOEFL 托福高頻詞彙 1-1000,A,accompaniment,n.,名詞,伴奏,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
60,TOEFL 托福高頻詞彙 1-1000,A,accomplish,vt.,及物動詞,"完成,达到,实现",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
61,TOEFL 托福高頻詞彙 1-1000,A,accomplished,adj.,形容詞,"精通的,熟练的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
62,TOEFL 托福高頻詞彙 1-1000,A,accomplishment,n.,名詞,成就,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
63,TOEFL 托福高頻詞彙 1-1000,A,accordion,n.,名詞,手手⻛风琴,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
64,TOEFL 托福高頻詞彙 1-1000,A,account,n. / vi.,名詞 / 不及物動詞,"说明,解释；户头,账户；解释",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
65,TOEFL 托福高頻詞彙 1-1000,O,on account of,词组,片語,"由于,因为",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
66,TOEFL 托福高頻詞彙 1-1000,T,take account of,词组,片語,考虑到;体谅,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
67,TOEFL 托福高頻詞彙 1-1000,T,take into account,词组,片語,"重视,考虑",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
68,TOEFL 托福高頻詞彙 1-1000,A,accounting,n.,名詞,会计学,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
69,TOEFL 托福高頻詞彙 1-1000,A,accountant,n.,名詞,"会计员,会计师",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
70,TOEFL 托福高頻詞彙 1-1000,A,accredit,vt.,及物動詞,授权,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
71,TOEFL 托福高頻詞彙 1-1000,A,accumulate,vi.,不及物動詞,"堆积,积聚;积累",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
72,TOEFL 托福高頻詞彙 1-1000,A,accumulation,n.,名詞,积聚,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
73,TOEFL 托福高頻詞彙 1-1000,A,accurate,adj.,形容詞,"准确的,正确的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
74,TOEFL 托福高頻詞彙 1-1000,A,accuracy,n.,名詞,"准确性,正确性",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
75,TOEFL 托福高頻詞彙 1-1000,A,accuse,vt.,及物動詞,"指责,归咎",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
76,TOEFL 托福高頻詞彙 1-1000,A,accusation,n.,名詞,谴责;控告,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
77,TOEFL 托福高頻詞彙 1-1000,A,accustomed,adj.,形容詞,习惯了了的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
78,TOEFL 托福高頻詞彙 1-1000,A,achieve,vt.,及物動詞,"完成,实现",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
79,TOEFL 托福高頻詞彙 1-1000,A,achievement,n.,名詞,"成就,功绩",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
80,TOEFL 托福高頻詞彙 1-1000,A,acid,n. / adj.,名詞 / 形容詞,"酸；酸的；尖酸的,刻薄的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
81,TOEFL 托福高頻詞彙 1-1000,A,acidic,adj.,形容詞,"酸的,酸性的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
82,TOEFL 托福高頻詞彙 1-1000,A,acidity,n.,名詞,"酸度,酸性",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
83,TOEFL 托福高頻詞彙 1-1000,A,acquaintance,n.,名詞,熟人,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
84,TOEFL 托福高頻詞彙 1-1000,A,acquaint,v.,動詞,熟悉,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
85,TOEFL 托福高頻詞彙 1-1000,A,acquisition,n.,名詞,获得,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
86,TOEFL 托福高頻詞彙 1-1000,A,acquire,vt.,及物動詞,"获得,学到",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
87,TOEFL 托福高頻詞彙 1-1000,A,acronym,n.,名詞,首首字母母缩写词,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
88,TOEFL 托福高頻詞彙 1-1000,A,actual,adj.,形容詞,"实际的,现行行的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
89,TOEFL 托福高頻詞彙 1-1000,A,actually,adv.,副詞,"实际上,事实上",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
90,TOEFL 托福高頻詞彙 1-1000,A,actuate,vt.,及物動詞,"开动,促使",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
91,TOEFL 托福高頻詞彙 1-1000,A,activate,vt.,及物動詞,"刺刺激,使活动",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
92,TOEFL 托福高頻詞彙 1-1000,A,actively,adv.,副詞,"活跃地,积极地",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
93,TOEFL 托福高頻詞彙 1-1000,A,acute,adj.,形容詞,"灵敏敏的,敏敏锐的；剧烈烈的;很严重的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
94,TOEFL 托福高頻詞彙 1-1000,A,acumen,n.,名詞,"敏敏锐,聪明",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
95,TOEFL 托福高頻詞彙 1-1000,A,adapt,v.,動詞,"(使)适应,调整;改编",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
96,TOEFL 托福高頻詞彙 1-1000,A,adaptable,adj.,形容詞,"能适应的,适应能力强的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
97,TOEFL 托福高頻詞彙 1-1000,A,adaptation,n.,名詞,"改编,改写;适应环境",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
98,TOEFL 托福高頻詞彙 1-1000,A,adaptive,adj.,形容詞,适合的;适应的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
99,TOEFL 托福高頻詞彙 1-1000,A,addict,n.,名詞,对...入入迷的人,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
100,TOEFL 托福高頻詞彙 1-1000,A,addiction,n.,名詞,毒瘾 ; 着迷;嗜好,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
101,TOEFL 托福高頻詞彙 1-1000,A,additive,n. / adj.,名詞 / 形容詞,添加剂；加法的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
102,TOEFL 托福高頻詞彙 1-1000,A,additional,adj.,形容詞,"另外的,附加的,额外的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
103,TOEFL 托福高頻詞彙 1-1000,I,in addition to,词组,片語,除..之外,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
104,TOEFL 托福高頻詞彙 1-1000,A,adept,adj.,形容詞,"熟练的,擅长的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
105,TOEFL 托福高頻詞彙 1-1000,A,adequate,adj.,形容詞,"足足够的,充实的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
106,TOEFL 托福高頻詞彙 1-1000,A,adhere,vi.,不及物動詞,"黏附,粘牢；追随,坚持",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
107,TOEFL 托福高頻詞彙 1-1000,A,adhesive,n. / adj.,名詞 / 形容詞,粘着物；粘着的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
108,TOEFL 托福高頻詞彙 1-1000,A,adjacent,adj.,形容詞,"毗连的,邻近的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
109,TOEFL 托福高頻詞彙 1-1000,A,adjoin,vt.,及物動詞,"毗连,邻近",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
110,TOEFL 托福高頻詞彙 1-1000,A,adjoining,adj.,形容詞,毗邻的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
111,TOEFL 托福高頻詞彙 1-1000,A,adjunct,n.,名詞,"附件,附属",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
112,TOEFL 托福高頻詞彙 1-1000,A,adjust,vt.,及物動詞,调整;使适于,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
113,TOEFL 托福高頻詞彙 1-1000,A,adjustment,n.,名詞,调整,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
114,TOEFL 托福高頻詞彙 1-1000,A,administer,vt.,及物動詞,管理理,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
115,TOEFL 托福高頻詞彙 1-1000,A,administration,n.,名詞,"经营,管理理；当局,政府",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
116,TOEFL 托福高頻詞彙 1-1000,A,administrative,adj.,形容詞,管理理的;行行政的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
117,TOEFL 托福高頻詞彙 1-1000,A,administrator,n.,名詞,管理理者;行行政官,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
118,TOEFL 托福高頻詞彙 1-1000,A,admire,vt.,及物動詞,"钦佩,崇拜;欣赏",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
119,TOEFL 托福高頻詞彙 1-1000,A,admiration,n.,名詞,"钦佩,赞美",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
120,TOEFL 托福高頻詞彙 1-1000,A,admit,vt.,及物動詞,准许进入入；承认,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
121,TOEFL 托福高頻詞彙 1-1000,A,admittedly,adv.,副詞,"公认地;诚然,无可否认地",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
122,TOEFL 托福高頻詞彙 1-1000,A,adobe,n.,名詞,"泥砖,土土坯",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
123,TOEFL 托福高頻詞彙 1-1000,A,adopt,vt.,及物動詞,"采用用,采纳；收养",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
124,TOEFL 托福高頻詞彙 1-1000,A,adoption,n.,名詞,采用用,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
125,TOEFL 托福高頻詞彙 1-1000,A,adorn,vt.,及物動詞,装饰,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
126,TOEFL 托福高頻詞彙 1-1000,A,adornment,n.,名詞,装饰;装饰品,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
127,TOEFL 托福高頻詞彙 1-1000,U,unadorned,adj.,形容詞,"未装饰的,朴实的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
128,TOEFL 托福高頻詞彙 1-1000,A,advance,vt. / vi. / n.,及物動詞 / 不及物動詞 / 名詞,"提高高,发展;提升；提出；前进；前进,进步；预先,提前(in advance)",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
129,TOEFL 托福高頻詞彙 1-1000,A,advancement,n.,名詞,进展;提升,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
130,TOEFL 托福高頻詞彙 1-1000,A,advanced,adj.,形容詞,高高级的;年年老老老的;先进的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
131,TOEFL 托福高頻詞彙 1-1000,A,advent,n.,名詞,"出现,到来",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
132,TOEFL 托福高頻詞彙 1-1000,A,adventure,n.,名詞,冒险经历,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
133,TOEFL 托福高頻詞彙 1-1000,A,adventurous,adj.,形容詞,"喜欢冒险的,敢做敢为的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
134,TOEFL 托福高頻詞彙 1-1000,A,adventurer,n.,名詞,冒险家,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
135,TOEFL 托福高頻詞彙 1-1000,A,adverse,adj.,形容詞,"负面的,不不利利的；敌对的,相反的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
136,TOEFL 托福高頻詞彙 1-1000,A,adversely,adv.,副詞,相反地;不不利利地,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
137,TOEFL 托福高頻詞彙 1-1000,A,adversity,n.,名詞,"不不幸,灾难",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
138,TOEFL 托福高頻詞彙 1-1000,A,advocate,n. / vt.,名詞 / 及物動詞,"提倡者,主张者,拥护者；拥护,主张",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
139,TOEFL 托福高頻詞彙 1-1000,A,aesthetic,adj.,形容詞,"美学的,审美的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
140,TOEFL 托福高頻詞彙 1-1000,A,anesthetic,n.,名詞,麻醉剂,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
141,TOEFL 托福高頻詞彙 1-1000,A,affect,v.,動詞,影响;假装,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
142,TOEFL 托福高頻詞彙 1-1000,A,affected,adj.,形容詞,装模作样的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
143,TOEFL 托福高頻詞彙 1-1000,A,affection,n.,名詞,"友爱,挚爱,情爱",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
144,TOEFL 托福高頻詞彙 1-1000,A,affective,adj.,形容詞,"感情的,表达感情的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
